"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Feeding","Bottle","13-Nov-2019 1:23 PM","13-Nov-2019 1:30 PM","150ml, breast milk"
"Feeding","Bottle","13-Nov-2019 9:37 AM","13-Nov-2019 9:45 AM","160ml, breast milk"
"Feeding","Bottle","12-Nov-2019 10:53 PM","12-Nov-2019 11:02 PM","180ml, breast milk"
"Feeding","Bottle","12-Nov-2019 8:43 PM","12-Nov-2019 8:50 PM","120ml, breast milk"
"Feeding","Bottle","12-Nov-2019 5:20 PM","12-Nov-2019 5:28 PM","200ml, breast milk"
"Feeding","Bottle","12-Nov-2019 12:49 PM","12-Nov-2019 12:59 PM","210ml, breast milk"
"Feeding","Bottle","12-Nov-2019 9:29 AM","12-Nov-2019 9:35 AM","125ml, breast milk"
"Feeding","Bottle","11-Nov-2019 11:26 PM","11-Nov-2019 11:31 PM","100ml, breast milk"
"Feeding","Bottle","11-Nov-2019 8:48 PM","11-Nov-2019 8:56 PM","180ml, breast milk"
"Feeding","Bottle","11-Nov-2019 5:43 PM","11-Nov-2019 5:48 PM","170ml, breast milk"
"Feeding","Bottle","11-Nov-2019 2:05 PM","11-Nov-2019 2:12 PM","160ml, breast milk"
"Feeding","Bottle","11-Nov-2019 11:25 AM","11-Nov-2019 11:33 AM","160ml, breast milk"
"Feeding","Bottle","11-Nov-2019 8:54 AM","11-Nov-2019 9:03 AM","165ml, breast milk"
"Feeding","Bottle","10-Nov-2019 11:44 PM","10-Nov-2019 11:49 PM","90ml, breast milk"
"Feeding","Bottle","10-Nov-2019 9:36 PM","10-Nov-2019 9:44 PM","135ml, breast milk"
"Feeding","Bottle","10-Nov-2019 6:02 PM","10-Nov-2019 6:08 PM","115ml, breast milk"
"Feeding","Bottle","10-Nov-2019 3:00 PM","10-Nov-2019 3:09 PM","165ml, breast milk"
"Feeding","Bottle","10-Nov-2019 11:34 AM","10-Nov-2019 11:40 AM","175ml, breast milk"
"Feeding","Bottle","10-Nov-2019 8:29 AM","10-Nov-2019 8:37 AM","155ml, breast milk"
"Feeding","Bottle","09-Nov-2019 9:36 PM","09-Nov-2019 9:42 PM","110ml, breast milk"
"Feeding","Bottle","09-Nov-2019 5:50 PM","09-Nov-2019 6:01 PM","195ml, breast milk"
"Feeding","Bottle","09-Nov-2019 2:00 PM","09-Nov-2019 2:07 PM","135ml, breast milk"
"Feeding","Bottle","09-Nov-2019 12:08 PM","09-Nov-2019 12:15 PM","195ml, breast milk"
"Feeding","Bottle","09-Nov-2019 9:36 AM","09-Nov-2019 9:45 AM","125ml, breast milk"
"Feeding","Bottle","09-Nov-2019 7:02 AM","09-Nov-2019 7:09 AM","130ml, breast milk"
"Feeding","Bottle","08-Nov-2019 10:30 PM","08-Nov-2019 10:38 PM","130ml, breast milk"
"Feeding","Bottle","08-Nov-2019 7:36 PM","08-Nov-2019 7:44 PM","150ml, breast milk"
"Feeding","Bottle","08-Nov-2019 3:14 PM","08-Nov-2019 3:23 PM","175ml, breast milk"
"Feeding","Bottle","08-Nov-2019 12:37 PM","08-Nov-2019 12:44 PM","155ml, breast milk"
"Feeding","Bottle","08-Nov-2019 7:54 AM","08-Nov-2019 8:03 AM","155ml, breast milk"
"Feeding","Bottle","07-Nov-2019 10:18 PM","07-Nov-2019 10:26 PM","150ml, breast milk"
"Feeding","Bottle","07-Nov-2019 6:05 PM","07-Nov-2019 6:14 PM","210ml, breast milk"
"Feeding","Bottle","07-Nov-2019 2:58 PM","07-Nov-2019 3:03 PM","155ml, breast milk"
"Feeding","Bottle","07-Nov-2019 11:54 AM","07-Nov-2019 12:00 PM","155ml, breast milk"
"Feeding","Bottle","07-Nov-2019 8:46 AM","07-Nov-2019 8:57 AM","195ml, breast milk"
"Feeding","Bottle","06-Nov-2019 9:15 PM","06-Nov-2019 9:24 PM","185ml, breast milk"
"Feeding","Bottle","06-Nov-2019 5:28 PM","06-Nov-2019 5:37 PM","150ml, breast milk"
"Feeding","Bottle","06-Nov-2019 1:50 PM","06-Nov-2019 1:56 PM","150ml, breast milk"
"Feeding","Bottle","06-Nov-2019 11:18 AM","06-Nov-2019 11:27 AM","180ml, breast milk"
"Feeding","Bottle","06-Nov-2019 7:52 AM","06-Nov-2019 8:01 AM","170ml, breast milk"
"Feeding","Bottle","05-Nov-2019 10:10 PM","05-Nov-2019 10:19 PM","175ml, breast milk"
"Feeding","Bottle","05-Nov-2019 7:21 PM","05-Nov-2019 7:30 PM","170ml, breast milk"
"Feeding","Bottle","05-Nov-2019 4:44 PM","05-Nov-2019 4:51 PM","170ml, breast milk"
"Feeding","Bottle","05-Nov-2019 1:25 PM","05-Nov-2019 1:31 PM","145ml, breast milk"
"Feeding","Bottle","05-Nov-2019 9:10 AM","05-Nov-2019 9:18 AM","180ml, breast milk"
"Feeding","Bottle","04-Nov-2019 9:06 PM","04-Nov-2019 9:15 PM","195ml, breast milk"
"Feeding","Bottle","04-Nov-2019 6:39 PM","04-Nov-2019 6:45 PM","150ml, breast milk"
"Feeding","Bottle","04-Nov-2019 2:45 PM","04-Nov-2019 2:52 PM","150ml, breast milk"
"Feeding","Bottle","04-Nov-2019 11:58 AM","04-Nov-2019 12:06 PM","165ml, breast milk"
"Feeding","Bottle","04-Nov-2019 9:36 AM","04-Nov-2019 9:43 AM","150ml, breast milk"
"Feeding","Bottle","03-Nov-2019 11:34 PM","03-Nov-2019 11:41 PM","120ml, breast milk"
"Feeding","Bottle","03-Nov-2019 9:07 PM","03-Nov-2019 9:12 PM","115ml, breast milk"
"Feeding","Bottle","03-Nov-2019 6:06 PM","03-Nov-2019 6:11 PM","135ml, breast milk"
"Feeding","Bottle","03-Nov-2019 2:51 PM","03-Nov-2019 2:55 PM","105ml, breast milk"
"Feeding","Bottle","03-Nov-2019 11:27 AM","03-Nov-2019 11:35 AM","180ml, breast milk"
"Feeding","Bottle","03-Nov-2019 8:18 AM","03-Nov-2019 8:24 AM","150ml, breast milk"
"Feeding","Bottle","02-Nov-2019 10:49 PM","02-Nov-2019 10:54 PM","100ml, breast milk"
"Feeding","Bottle","02-Nov-2019 9:25 PM","02-Nov-2019 9:28 PM","80ml, breast milk"
